circular_no,name,date,link
1.1.36,Revision of Delegation of Powers-reg.,16.01.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.36.pdf
1.1.35,Delegation of Powers,19.05.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.35.pdf
1.1.34,Clarification on Sanction of Leave-reg.,31.10.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.34.pdf
1.1.33,"Provision of safe road crossing measures by construction of Foot Over Bridges (FoBs), Pedestrian Under Passes (PUPs), Pedestrian Sub Ways (PSWs), Cautionary/Informative Road Sign Boards/Road markings and other safety measures including sola lighting in places of large public movements e.g. Educational Institutions, Religious Places, Hospitals and Local Haat/Bazaars located on/ near the National Highways - Delegation of powers of Regional Officers”",25.04.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.33.pdf
1.1.32,"Delegation of Power to CGM(HR/Admin)- for approving proposals to grant Post-Retirement Medical Facilities under NHAI (Medical Attendance and Treatment) Regulations,1997",21.01.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.32.pdf
1.1.31,"Rectification of Accident Blackspots-Guidelines on preparation of proposals, granting sanctions, execution of works, etc",19.12.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.31.pdf
1.1.30,Cancelled,05.12.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.30.pdf
1.1.29,Delegation of Powers to ROs for finalization of technical scope and approval of the detailed estimates for works of permanent rectification of Ministry identified blackspots reg.,05.08.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.29.pdf
1.1.28,Delegation of powers to CGM (HR/Admn),05.07.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.28.pdf
1.1.27,Delegation of Powers to Regional Officers,20.03.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.27.pdf
1.1.26,"Delegation of Powers to Chairman, Members and other officers of E&BM Section of the National highways Authority of India.",13.02.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.26.pdf
1.1.25,Delegation of power to ROs for technical finalization and approval of the detailed estimates for works of permanent rectification of Ministry identified black spots reg.,21.12.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.25.pdf
1.1.24,"Guidelines and delegation of power for implementation of Green Highways Projects (Plantation, Transplantation, Beautification and Maintenance)",18.12.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.24.pdf
1.1.23,Delegation of power for Media Relations/ 2017.,18.12.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.23.pdf
1.1.22,Delegation of powers for Media Relations,13.11.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.22.pdf
1.1.21,Delegation of power,06.06.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.21.pdf
1.1.20,Circular reg Delegation of powers relating to tours and leave,03.02.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.20.pdf
1.1.19,Delegation of powers for expenditure on Inauguration/ Bhoomi Pujan/ foundation stone laying/ any other ceremony.,25.01.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.19.pdf
1.1.18,"Delegation of power to Chairman, Members and other officers of the NHAI",25.04.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.18.pdf
1.1.17,Presenting Mementoes to the officers/staff on their repatriation/superannuation/retirement.,15.03.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.17.pdf
1.1.16,"Delegation of power to Chairman,Members and other officers of the NHAI.",16.09.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.16.pdf
1.1.15,Delegation of powers to GM level officers posted as Regional officers in Regional Offices.,20.03.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.15.pdf
1.1.14,"Delegation of Power to Chairman,Members and other officers of the NHAI.",22.1.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.14.pdf
1.1.13,"Delegation of power to Chairman,Members and other officers of the NHAI.",27.8.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.13.pdf
1.1.12,"Delegation of power to Chairman,Members and other officers of the NHAI",16.4.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.12.pdf
1.1.11,"Delegation of Power to Chairman,Members and other officers of the NHAI",20.11.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.11.pdf
1.1.10,"Delegation of Power to Chairman,Members and other officers of the NHAI- Modification of power for Authorization of tour of Regional Officers.",28.08.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.10.pdf
1.1.9,"Delegation of Power to Chairman,Members and other officers of the NHAI",06.07.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.9.pdf
1.1.8,"Delegation of Power to Chairman,Members and other officers of the NHAI.",27.06.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.8.pdf
1.1.7,"Delegation of Power to Chairman,Members and other officers of the NHAI- Modification of power for purchase of Stationary & office stores including papers for printing,photocopying etc.",19.12.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.7.pdf
